Epoch 1: loss=1.829079031944275, accuracy=0.24222713708877563, val_loss=1.814777135848999, val_accuracy=0.24293477833271027
Epoch 31: loss=1.2259565591812134, accuracy=0.5395538806915283, val_loss=1.0771818161010742, val_accuracy=0.588179349899292
Epoch 32: loss=1.2187808752059937, accuracy=0.5398944616317749, val_loss=1.0740193128585815, val_accuracy=0.594293475151062
Epoch 33: loss=1.2177348136901855, accuracy=0.543333888053894, val_loss=1.0660698413848877, val_accuracy=0.5978260636329651
Epoch 34: loss=1.207308292388916, accuracy=0.5447982549667358, val_loss=1.0722510814666748, val_accuracy=0.595380425453186
Epoch 35: loss=1.1968291997909546, accuracy=0.5495317578315735, val_loss=1.083711862564087, val_accuracy=0.587907612323761
Epoch 36: loss=1.1919234991073608, accuracy=0.5509620308876038, val_loss=1.0471636056900024, val_accuracy=0.599592387676239
Epoch 37: loss=1.1893327236175537, accuracy=0.5540269017219543, val_loss=1.0403953790664673, val_accuracy=0.605434775352478
Epoch 38: loss=1.1846524477005005, accuracy=0.5523241758346558, val_loss=1.0360792875289917, val_accuracy=0.6039401888847351
Epoch 39: loss=1.1816588640213013, accuracy=0.5550485253334045, val_loss=1.027185082435608, val_accuracy=0.6120923757553101
Epoch 40: loss=1.1695173978805542, accuracy=0.5608036518096924, val_loss=1.0401039123535156, val_accuracy=0.6070652008056641
Epoch 41: loss=1.169778823852539, accuracy=0.5622339248657227, val_loss=1.04104745388031, val_accuracy=0.6047554612159729
Epoch 42: loss=1.1626766920089722, accuracy=0.5620296001434326, val_loss=1.1062278747558594, val_accuracy=0.5807065367698669
Epoch 43: loss=1.1610851287841797, accuracy=0.5646517872810364, val_loss=1.0237189531326294, val_accuracy=0.6114130616188049
Epoch 44: loss=1.1523027420043945, accuracy=0.5696237087249756, val_loss=1.0188664197921753, val_accuracy=0.6120923757553101
Epoch 45: loss=1.1563490629196167, accuracy=0.5644474625587463, val_loss=1.0317877531051636, val_accuracy=0.6100543737411499
Epoch 46: loss=1.1530187129974365, accuracy=0.5659458637237549, val_loss=1.0182151794433594, val_accuracy=0.6148098111152649
Epoch 47: loss=1.1472593545913696, accuracy=0.5702707171440125, val_loss=1.02992844581604, val_accuracy=0.6070652008056641
Epoch 48: loss=1.1416760683059692, accuracy=0.5699301958084106, val_loss=1.0323554277420044, val_accuracy=0.610190212726593
Epoch 49: loss=1.136991024017334, accuracy=0.5720415711402893, val_loss=1.0185171365737915, val_accuracy=0.6114130616188049
Epoch 50: loss=1.1291807889938354, accuracy=0.5783756375312805, val_loss=1.0150456428527832, val_accuracy=0.6145380139350891
